Time,ECG,PCG,PPG
5100,326,626,38632
5110,327,730,38628
5120,333,752,38619
5130,340,803,38602
5140,344,835,38609
5150,352,815,38606
5160,360,844,38600
5170,368,817,38611
5180,373,794,38603
5190,377,799,38602
5200,384,863,38603
5210,387,801,38626
5220,394,788,38619
5230,399,856,38620
5240,407,789,38621
5250,414,819,38624
5260,421,738,38605
5270,435,836,38584
5280,445,845,38576
5290,456,825,38590
5300,468,811,38598
5310,476,736,38592
5320,486,823,38601
5330,500,701,38614
5340,505,818,38610
5350,517,777,38625
5360,530,681,38633
5370,535,709,38651
5380,548,689,38654
5390,557,725,38640
5400,574,714,38644
5410,585,721,38629
5420,594,769,38615
5430,611,824,38614
5440,619,817,38611
5450,627,773,38610
5460,638,834,38613
5470,641,800,38607
5480,649,832,38597
5490,653,830,38602
5500,663,745,38610
5510,667,789,38622
5520,674,687,38617
5530,676,816,38627
5540,680,836,38620
5550,684,813,38625
5560,690,793,38602
5570,691,834,38576
5580,693,786,38581
5590,689,818,38586
5600,686,817,38602
5610,681,809,38603
5620,674,808,38600
5630,677,816,38610
5640,672,779,38606
5650,667,794,38614
5660,668,751,38641
5670,660,673,38643
5680,658,704,38653
5690,656,715,38647
5700,648,701,38641
5710,647,739,38632
5720,642,836,38617
5730,637,806,38612
5740,636,797,38612
5750,633,804,38606
5760,633,818,38607
5770,625,845,38600
5780,625,811,38601
5790,619,811,38605
5800,613,811,38600
5810,616,788,38619
5820,610,749,38618
5830,609,824,38617
5840,603,785,38629
5850,598,805,38619
5860,599,808,38597
5870,591,803,38576
5880,586,824,38585
5890,581,851,38599
5900,580,828,38597
5910,576,795,38588
5920,573,816,38598
5930,571,794,38619
5940,572,813,38616
5950,566,794,38616
5960,568,742,38633
5970,565,697,38636
5980,564,690,38647
5990,564,710,38649
6000,557,719,38647
6010,562,709,38639
6020,562,774,38607
6030,561,804,38609
6040,568,817,38609
6050,568,784,38603
6060,572,801,38609
6070,570,834,38602
6080,571,808,38603
6090,572,800,38599
6100,565,818,38610
6110,568,819,38611
6120,565,788,38623
6130,564,804,38629
6140,565,837,38613
6150,561,848,38620
6160,556,808,38617
6170,558,793,38583
6180,550,834,38588
6190,553,816,38593
6200,548,815,38592
6210,541,808,38601
6220,543,803,38597
6230,537,837,38609
6240,536,792,38603
6250,535,775,38600
6260,529,720,38622
6270,531,696,38650
6280,526,714,38644
6290,524,715,38649
6300,518,713,38636
6310,513,729,38635
6320,513,776,38611
6330,509,824,38601
6340,508,836,38610
6350,507,839,38605
6360,501,829,38606
6370,495,837,38607
6380,496,833,38606
6390,495,779,38603
6400,492,826,38613
6410,489,807,38627
6420,490,753,38616
6430,483,810,38615
6440,481,813,38631
6450,481,777,38619
6460,477,811,38618
6470,479,812,38584
6480,474,819,38589
6490,473,808,38589
6500,473,815,38599
6510,469,863,38603
6520,472,795,38604
6530,469,804,38607
6540,465,785,38606
6550,467,787,38618
6560,463,726,38628
6570,468,705,38650
6580,468,732,38653
6590,466,718,38639
6600,466,722,38640
6610,463,761,38647
6620,465,792,38619
6630,464,846,38607
6640,462,818,38607
6650,467,791,38612
6660,458,810,38602
6670,463,829,38608
6680,462,798,38608
6690,462,800,38610
6700,463,837,38622
6710,462,783,38614
6720,466,762,38619
6730,466,806,38622
6740,461,808,38624
6750,465,836,38626
6760,466,790,38609
6770,465,828,38581
6780,467,850,38587
6790,467,817,38590
6800,469,792,38607
6810,464,798,38599
6820,469,804,38592
6830,469,798,38603
6840,463,833,38602
6850,470,813,38612
6860,466,744,38633
6870,467,697,38642
6880,467,721,38647
6890,468,717,38648
6900,465,706,38644
6910,461,697,38641
6920,463,773,38620
6930,462,804,38610
6940,457,806,38610
6950,458,803,38609
6960,454,805,38604
6970,451,823,38605
6980,451,841,38606
6990,443,832,38610
7000,446,817,38613
7010,442,816,38622
